ID,Prefecture,Region,Capital,Latitude,Longitude,Region.ID,Color
1,Hokkaido,Hokkaido,Sapporo,43.0621,141.3544,1,#ef7979
2,Aomori,Tohoku,Aomori,40.8221,140.7474,2,#efe979
3,Iwate,Tohoku,Morioka,39.7021,141.1545,2,#efe979
4,Miyagi,Tohoku,Sendai,38.2682,140.8694,2,#efe979
5,Akita,Tohoku,Akita,39.7199,140.1036,2,#efe979
6,Yamagata,Tohoku,Yamagata,38.2554,140.3396,2,#efe979
7,Fukushima,Tohoku,Fukushima,37.7608,140.4747,2,#efe979
8,Ibaraki,Kanto,Mito,36.3665,140.471,3,#87ef79
9,Tochigi,Kanto,Utsunomiya,36.5551,139.8828,3,#87ef79
10,Gunma,Kanto,Maebashi,36.3895,139.0634,3,#87ef79
11,Saitama,Kanto,Saitama,35.8617,139.6455,3,#87ef79
12,Chiba,Kanto,Chiba,35.6073,140.1063,3,#87ef79
13,Tokyo,Kanto,Shinjuku,35.6938,139.7035,3,#87ef79
14,Kanagawa,Kanto,Yokohama,35.4437,139.638,3,#87ef79
15,Niigata,Chubu,Niigata,37.9162,139.0364,4,#79efdb
16,Toyama,Chubu,Toyama,36.6952,137.2079,4,#79efdb
17,Ishikawa,Chubu,Kanazawa,36.5609,136.6507,4,#79efdb
18,Fukui,Chubu,Fukui,36.0636,136.2137,4,#79efdb
19,Yamanashi,Chubu,Kofu,35.6623,138.5682,4,#79efdb
20,Nagano,Chubu,Nagano,36.6486,138.1948,4,#79efdb
21,Gifu,Chubu,Gifu,35.4232,136.7551,4,#79efdb
22,Shizuoka,Chubu,Shizuoka,34.9756,138.3828,4,#79efdb
23,Aichi,Chubu,Nagoya,35.1817,136.9011,4,#79efdb
24,Mie,Kansai,Tsu,34.7192,136.5002,5,#9579ef
25,Shiga,Kansai,Otsu,35.0183,135.8489,5,#9579ef
26,Kyoto,Kansai,Kyoto,35.012,135.7622,5,#9579ef
27,Osaka,Kansai,Osaka,34.6944,135.4963,5,#9579ef
28,Hyogo,Kansai,Kobe,34.6907,135.1897,5,#9579ef
29,Nara,Kansai,Nara,34.6858,135.7992,5,#9579ef
30,Wakayama,Kansai,Wakayama,34.2314,135.165,5,#9579ef
31,Tottori,Chugoku,Tottori,35.501,134.2295,6,#efb179
32,Shimane,Chugoku,Matsue,35.4679,133.0426,6,#efb179
33,Okayama,Chugoku,Okayama,34.6561,133.9142,6,#efb179
34,Hiroshima,Chugoku,Hiroshima,34.386,132.4496,6,#efb179
35,Yamaguchi,Chugoku,Yamaguchi,34.1795,131.4676,6,#efb179
36,Tokushima,Shikoku,Tokushima,34.0715,134.5496,7,#cc79ef
37,Kagawa,Shikoku,Takamatsu,34.3436,134.041,7,#cc79ef
38,Ehime,Shikoku,Matsuyama,33.8403,132.7602,7,#cc79ef
39,Kochi,Shikoku,Kochi,33.5609,133.5238,7,#cc79ef
40,Fukuoka,Kyushu,Fukuoka,33.5914,130.3958,8,#b4b4b4
41,Saga,Kyushu,Saga,33.2649,130.2952,8,#b4b4b4
42,Nagasaki,Kyushu,Nagasaki,32.7522,129.8722,8,#b4b4b4
43,Kumamoto,Kyushu,Kumamoto,32.8049,130.7023,8,#b4b4b4
44,Oita,Kyushu,Oita,33.2412,131.6036,8,#b4b4b4
45,Miyazaki,Kyushu,Miyazaki,31.9093,131.4143,8,#b4b4b4
46,Kagoshima,Kyushu,Kagoshima,31.5985,130.5518,8,#b4b4b4
47,Okinawa,Kyushu,Naha,26.2155,127.675,8,#b4b4b4
